Rank,Country,Population2023,YearlyChange,Trend
1,India,1428627663,0.81%,Increasing
2,China,1425671352,-0.02%,Decreasing
3,United States,339996563,0.50%,Increasing
4,Indonesia,277534122,,
5,Pakistan,240485658,1.98%,Increasing
6,Nigeria,,,Increasing
7,Brazil,216422446,0.52%,Increasing
8,Bangladesh,172954319,1.03%,Increasing
9,Russia,144444359,-0.19%,Decreasing
10,Mexico,128455567,0.75%,Increasing
11,Ethiopia,126527060,2.55%,Increasing
12,Japan,123294513,-0.53%,Decreasing
13,Philippines,117337368,1.54%,Increasing
14,Egypt,,1.56%,Increasing
15,DR Congo,102262808,3.29%,
16,Vietnam,98858950,0.68%,
17,Iran,,,
18,Turkey,85816199,0.56%,Increasing
19,Germany,83294633,-0.09%,Decreasing
20,Thailand,71801279,0.15%,Increasing
21,United Kingdom,67736802,0.34%,Increasing
22,Tanzania,67438106,2.96%,Increasing
23,France,64756584,0.20%,Increasing
24,South Africa,60414495,0.87%,Increasing
25,Italy,58870762,-0.28%,Decreasing
26,Kenya,55100586,1.99%,Increasing
27,Myanmar,54577997,0.74%,Increasing
28,Colombia,52085168,0.41%,Increasing
29,South Korea,51784059,-0.06%,Decreasing
30,Uganda,48582334,2.82%,Increasing
31,Sudan,48109006,2.63%,Increasing
32,Spain,47519628,-0.08%,Decreasing
33,Argentina,45773884,0.58%,Increasing
34,Algeria,45606480,1.57%,Increasing
35,Iraq,45504560,2.27%,Increasing
36,Afghanistan,42239854,2.70%,Increasing
37,Poland,41026067,2.93%,Increasing
38,Canada,38781291,0.85%,Increasing
39,Morocco,37840044,1.02%,Increasing
40,Saudi Arabia,36947025,1.48%,Increasing
41,Ukraine,36744634,-7.45%,Decreasing
42,Angola,36684202,3.08%,Increasing
43,Uzbekistan,35163944,1.55%,Increasing
44,Yemen,34449825,2.24%,Increasing
45,Peru,34352719,0.89%,Increasing
46,Malaysia,34308525,1.09%,Increasing
47,Ghana,34121985,1.93%,Increasing
48,Mozambique,33897354,2.81%,Increasing
49,Nepal,30896590,1.14%,Increasing
50,Madagascar,30325732,2.41%,Increasing
51,Côte d'Ivoire,28873034,2.53%,Increasing
52,Venezuela,28838499,1.90%,Increasing
53,Cameroon,28647293,2.63%,Increasing
54,Niger,27202843,3.80%,Increasing
55,Australia,26439111,1.00%,Increasing
56,North Korea,26160821,0.35%,Increasing
57,Taiwan,23923276,0.13%,Increasing
58,Mali,23293698,3.10%,Increasing
59,Burkina Faso,23251485,2.55%,Increasing
60,Syria,23227014,4.98%,Increasing
